Waste type,Month,Value,Source_Sheet
Wet waste,A&B Block,30,March2025
Dry waste,A&B Block,12,March2025
TOTAL (Kg),A&B Block,42,March2025
Waste type,A&B Block, A&B Block,March2025
Wet waste,A&B Block,14,March2025
Dry waste,A&B Block,12,March2025
TOTAL (Kg),A&B Block,26,March2025
Waste type,A&B Block, A&B Block,March2025
Wet waste,A&B Block,55,March2025
Dry waste,A&B Block,10,March2025
TOTAL (Kg),A&B Block,65,March2025
Waste type,A&B Block, A&B Block,March2025
Wet waste,A&B Block,40,March2025
Dry waste,A&B Block,31,March2025
TOTAL (Kg),A&B Block,71,March2025
Waste type,A&B Block, A&B Block,March2025
Wet waste,A&B Block,63,March2025
Dry waste,A&B Block,20,March2025
TOTAL (Kg),A&B Block,83,March2025
Waste type,A&B Block, A&B Block,March2025
Wet waste,A&B Block,56,March2025
Dry waste,A&B Block,25,March2025
TOTAL (Kg),A&B Block,81,March2025
Waste type,A&B Block, A&B Block,March2025
Wet waste,A&B Block,64,March2025
Dry waste,A&B Block,17,March2025
TOTAL (Kg),A&B Block,81,March2025
Waste type,A&B Block, A&B Block,March2025
Wet waste,A&B Block,72,March2025
Dry waste,A&B Block,28,March2025
TOTAL (Kg),A&B Block,100,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,82,March2025
Dry waste,A&B Block,40,March2025
TOTAL (Kg),A&B Block,122,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,82,March2025
Dry waste,A&B Block,31,March2025
TOTAL (Kg),A&B Block,113,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,82,March2025
Dry waste,A&B Block,44,March2025
TOTAL (Kg),A&B Block,44,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,74,March2025
Dry waste,A&B Block,42,March2025
TOTAL (Kg),A&B Block,116,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,70,March2025
Dry waste,A&B Block,30,March2025
TOTAL (Kg),A&B Block,100,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,35,March2025
Dry waste,A&B Block,12,March2025
TOTAL (Kg),A&B Block,47,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,71,March2025
Dry waste,A&B Block,35,March2025
TOTAL (Kg),A&B Block,106,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,60,March2025
Dry waste,A&B Block,42,March2025
TOTAL (Kg),A&B Block,102,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,63,March2025
Dry waste,A&B Block,31,March2025
TOTAL (Kg),A&B Block,94,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,33,March2025
Dry waste,A&B Block,11,March2025
TOTAL (Kg),A&B Block,44,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,29,March2025
Dry waste,A&B Block,10,March2025
TOTAL (Kg),A&B Block,39,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,58,March2025
Dry waste,A&B Block,42,March2025
TOTAL (Kg),A&B Block,100,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,56,March2025
Dry waste,A&B Block,30,March2025
TOTAL (Kg),A&B Block,86,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,24,March2025
Dry waste,A&B Block,11,March2025
TOTAL (Kg),A&B Block,35,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,40,March2025
Dry waste,A&B Block,12,March2025
TOTAL (Kg),A&B Block,52,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,20,March2025
Dry waste,A&B Block,8,March2025
TOTAL (Kg),A&B Block,28,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,66,March2025
Dry waste,A&B Block,30,March2025
TOTAL (Kg),A&B Block,96,March2025
Wet waste,C&D Block,15,March2025
Dry waste,C&D Block,8,March2025
TOTAL (Kg),C&D Block,23,March2025
Waste type,C&D Block,C&D Block ,March2025
Wet waste,C&D Block,10,March2025
Dry waste,C&D Block,4,March2025
TOTAL (Kg),C&D Block,14,March2025
Waste type,C&D Block,C&D Block ,March2025
Wet waste,C&D Block,15,March2025
Dry waste,C&D Block,10.36,March2025
TOTAL (Kg),C&D Block,25.36,March2025
Waste type,C&D Block,C&D Block ,March2025
Wet waste,C&D Block,35,March2025
Dry waste,C&D Block,17.32,March2025
TOTAL (Kg),C&D Block,52.32,March2025
Waste type,C&D Block,C&D Block ,March2025
Wet waste,C&D Block,20.98,March2025
Dry waste,C&D Block,31.68,March2025
TOTAL (Kg),C&D Block,52.66,March2025
Waste type,C&D Block,C&D Block ,March2025
Wet waste,C&D Block,19.62,March2025
Dry waste,C&D Block,29.92,March2025
TOTAL (Kg),C&D Block,49.54,March2025
Waste type,C&D Block,C&D Block ,March2025
Wet waste,C&D Block,22.18,March2025
Dry waste,C&D Block,27.45,March2025
TOTAL (Kg),C&D Block,49.63,March2025
Waste type,C&D Block,C&D Block ,March2025
Wet waste,C&D Block,9.3,March2025
Dry waste,C&D Block,18.6,March2025
TOTAL (Kg),C&D Block,27.9,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,23.2,March2025
Dry waste,C&D Block,12.4,March2025
TOTAL (Kg),C&D Block,35.6,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,29.1,March2025
Dry waste,C&D Block,18.1,March2025
TOTAL (Kg),C&D Block,47.2,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,29.1,March2025
Dry waste,C&D Block,16.1,March2025
TOTAL (Kg),C&D Block,16.1,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,25,March2025
Dry waste,C&D Block,16,March2025
TOTAL (Kg),C&D Block,41,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,60,March2025
Dry waste,C&D Block,30,March2025
TOTAL (Kg),C&D Block,90,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,19,March2025
Dry waste,C&D Block,8,March2025
TOTAL (Kg),C&D Block,27,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,29,March2025
Dry waste,C&D Block,12,March2025
TOTAL (Kg),C&D Block,41,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,21.1,March2025
Dry waste,C&D Block,14.2,March2025
TOTAL (Kg),C&D Block,35.3,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,31.4,March2025
Dry waste,C&D Block,18,March2025
TOTAL (Kg),C&D Block,49.4,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,24.1,March2025
Dry waste,C&D Block,17.3,March2025
TOTAL (Kg),C&D Block,41.4,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,32,March2025
Dry waste,C&D Block,12,March2025
TOTAL (Kg),C&D Block,44,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,34.6,March2025
Dry waste,C&D Block,22.2,March2025
TOTAL (Kg),C&D Block,56.8,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,30,March2025
Dry waste,C&D Block,20,March2025
TOTAL (Kg),C&D Block,50,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,23,March2025
Dry waste,C&D Block,16,March2025
TOTAL (Kg),C&D Block,39,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,26.2,March2025
Dry waste,C&D Block,17.1,March2025
TOTAL (Kg),C&D Block,43.3,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,36.1,March2025
Dry waste,C&D Block,21.2,March2025
TOTAL (Kg),C&D Block,57.3,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,23,March2025
Dry waste,C&D Block,19,March2025
TOTAL (Kg),C&D Block,42,March2025
Wet waste,L H Hostel,23,March2025
Dry waste,L H Hostel,12,March2025
TOTAL (Kg),L H Hostel,35,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,16,March2025
Dry waste,L H Hostel,6,March2025
TOTAL (Kg),L H Hostel,22,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,0,March2025
Dry waste,L H Hostel,8,March2025
TOTAL (Kg),L H Hostel,8,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,20,March2025
Dry waste,L H Hostel,10,March2025
TOTAL (Kg),L H Hostel,30,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,30,March2025
Dry waste,L H Hostel,11.66,March2025
TOTAL (Kg),L H Hostel,41.66,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,17,March2025
Dry waste,L H Hostel,20,March2025
TOTAL (Kg),L H Hostel,37,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,20,March2025
Dry waste,L H Hostel,17,March2025
TOTAL (Kg),L H Hostel,37,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,24,March2025
Dry waste,L H Hostel,15,March2025
TOTAL (Kg),L H Hostel,39,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,0,March2025
Dry waste,L H Hostel,0,March2025
TOTAL (Kg),L H Hostel,0,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,0,March2025
Dry waste,L H Hostel,0,March2025
TOTAL (Kg),L H Hostel,0,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,0,March2025
Dry waste,L H Hostel,15,March2025
TOTAL (Kg),L H Hostel,15,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,30,March2025
Dry waste,L H Hostel,15,March2025
TOTAL (Kg),L H Hostel,45,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,0,March2025
Dry waste,L H Hostel,0,March2025
TOTAL (Kg),L H Hostel,0,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,0,March2025
Dry waste,L H Hostel,0,March2025
TOTAL (Kg),L H Hostel,0,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,30,March2025
Dry waste,L H Hostel,15,March2025
TOTAL (Kg),L H Hostel,45,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,0,March2025
Dry waste,L H Hostel,0,March2025
TOTAL (Kg),L H Hostel,0,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,30,March2025
Dry waste,L H Hostel,12,March2025
TOTAL (Kg),L H Hostel,42,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,60,March2025
Dry waste,L H Hostel,15,March2025
TOTAL (Kg),L H Hostel,75,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,55,March2025
Dry waste,L H Hostel,20,March2025
TOTAL (Kg),L H Hostel,75,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,0,March2025
Dry waste,L H Hostel,0,March2025
TOTAL (Kg),L H Hostel,0,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,0,March2025
Dry waste,L H Hostel,0,March2025
TOTAL (Kg),L H Hostel,0,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,45,March2025
Dry waste,L H Hostel,27,March2025
TOTAL (Kg),L H Hostel,72,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,50,March2025
Dry waste,L H Hostel,40,March2025
TOTAL (Kg),L H Hostel,90,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,0,March2025
Dry waste,L H Hostel,0,March2025
TOTAL (Kg),L H Hostel,0,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,45,March2025
Dry waste,L H Hostel,23,March2025
TOTAL (Kg),L H Hostel,68,March2025
Wet waste,Hostel no -25,6,March2025
Dry waste,Hostel no -25,27,March2025
TOTAL (Kg),Hostel no -25,33,March2025
Waste type,Hostel no -25,Hostel no -25 ,March2025
Wet waste,Hostel no -25,5,March2025
Dry waste,Hostel no -25,23,March2025
TOTAL (Kg),Hostel no -25,28,March2025
Waste type,Hostel no -25,Hostel no -25 ,March2025
Wet waste,Hostel no -25,4.2,March2025
Dry waste,Hostel no -25,11.44,March2025
TOTAL (Kg),Hostel no -25,15.64,March2025
Waste type,Hostel no -25,Hostel no -25 ,March2025
Wet waste,Hostel no -25,3.6,March2025
Dry waste,Hostel no -25,10.44,March2025
TOTAL (Kg),Hostel no -25,14.04,March2025
Waste type,Hostel no -25,Hostel no -25 ,March2025
Wet waste,Hostel no -25,2.66,March2025
Dry waste,Hostel no -25,14.25,March2025
TOTAL (Kg),Hostel no -25,16.91,March2025
Waste type,Hostel no -25,Hostel no -25 ,March2025
Wet waste,Hostel no -25,3.87,March2025
Dry waste,Hostel no -25,13.45,March2025
TOTAL (Kg),Hostel no -25,17.32,March2025
Waste type,Hostel no -25,Hostel no -25 ,March2025
Wet waste,Hostel no -25,6,March2025
Dry waste,Hostel no -25,19,March2025
TOTAL (Kg),Hostel no -25,25,March2025
Waste type,Hostel no -25,Hostel no -25 ,March2025
Wet waste,Hostel no -25,3.6,March2025
Dry waste,Hostel no -25,10.44,March2025
TOTAL (Kg),Hostel no -25,14.04,March2025
Waste type,Hostel no -25,Hostel no -25,March2025
Wet waste,Hostel no -25,6,March2025
Dry waste,Hostel no -25,19,March2025
TOTAL (Kg),Hostel no -25,25,March2025
Waste type,Hostel no -25,Hostel no -25,March2025
Wet waste,Hostel no -25,18.5,March2025
Dry waste,Hostel no -25,0,March2025
TOTAL (Kg),Hostel no -25,18.5,March2025
Waste type,Hostel no -25,Hostel no -25,March2025
Wet waste,Hostel no -25,18.5,March2025
Dry waste,Hostel no -25,0,March2025
TOTAL (Kg),Hostel no -25,0,March2025
Waste type,Hostel no -25,Hostel no -25,March2025
Wet waste,Hostel no -25,24.9,March2025
Dry waste,Hostel no -25,10,March2025
TOTAL (Kg),Hostel no -25,34.9,March2025
Waste type,Hostel no -25,Hostel no -25,March2025
Wet waste,Hostel no -25,11.2,March2025
Dry waste,Hostel no -25,0,March2025
TOTAL (Kg),Hostel no -25,11.2,March2025
Waste type,Hostel no -25,Hostel no -25,March2025
Wet waste,Hostel no -25,11.2,March2025
Dry waste,Hostel no -25,10,March2025
TOTAL (Kg),Hostel no -25,21.2,March2025
Waste type,Hostel no -25,Hostel no -25,March2025
Wet waste,Hostel no -25,18.3,March2025
Dry waste,Hostel no -25,5,March2025
TOTAL (Kg),Hostel no -25,23.3,March2025
Waste type,Hostel no -25,Hostel no -25,March2025
Wet waste,Hostel no -25,11.2,March2025
Dry waste,Hostel no -25,0,March2025
TOTAL (Kg),Hostel no -25,11.2,March2025
Waste type,Hostel no -25,Hostel no -25,March2025
Wet waste,Hostel no -25,18.3,March2025
Dry waste,Hostel no -25,0,March2025
TOTAL (Kg),Hostel no -25,18.3,March2025
Waste type,Hostel no -25,Hostel no -25,March2025
Wet waste,Hostel no -25,11.2,March2025
Dry waste,Hostel no -25,0,March2025
TOTAL (Kg),Hostel no -25,11.2,March2025
Waste type,Hostel no -25,Hostel no -25,March2025
Wet waste,Hostel no -25,18.3,March2025
Dry waste,Hostel no -25,0,March2025
TOTAL (Kg),Hostel no -25,18.3,March2025
Waste type,Hostel no -25,Hostel no -25,March2025
Wet waste,Hostel no -25,15,March2025
Dry waste,Hostel no -25,6.5,March2025
TOTAL (Kg),Hostel no -25,21.5,March2025
Waste type,Hostel no -25,Hostel no -25,March2025
Wet waste,Hostel no -25,18.3,March2025
Dry waste,Hostel no -25,14,March2025
TOTAL (Kg),Hostel no -25,32.3,March2025
Waste type,Hostel no -25,Hostel no -25,March2025
Wet waste,Hostel no -25,15.4,March2025
Dry waste,Hostel no -25,0,March2025
TOTAL (Kg),Hostel no -25,15.4,March2025
Waste type,Hostel no -25,Hostel no -25,March2025
Wet waste,Hostel no -25,12.4,March2025
Dry waste,Hostel no -25,15,March2025
TOTAL (Kg),Hostel no -25,27.4,March2025
Waste type,Hostel no -25,Hostel no -25,March2025
Wet waste,Hostel no -25,10.4,March2025
Dry waste,Hostel no -25,0,March2025
TOTAL (Kg),Hostel no -25,10.4,March2025
Waste type,Hostel no -25,Hostel no -25,March2025
Wet waste,Hostel no -25,20.4,March2025
Dry waste,Hostel no -25,14,March2025
TOTAL (Kg),Hostel no -25,34.4,March2025
Wet waste,Hostel no -26,7.5,March2025
Dry waste,Hostel no -26,11.4,March2025
TOTAL (Kg),Hostel no -26,18.9,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,8,March2025
Dry waste,Hostel no -26,18,March2025
TOTAL (Kg),Hostel no -26,26,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,6,March2025
Dry waste,Hostel no -26,33,March2025
TOTAL (Kg),Hostel no -26,39,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,4.66,March2025
Dry waste,Hostel no -26,17.55,March2025
TOTAL (Kg),Hostel no -26,22.21,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,7.1,March2025
Dry waste,Hostel no -26,20.67,March2025
TOTAL (Kg),Hostel no -26,27.77,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,6.38,March2025
Dry waste,Hostel no -26,21.97,March2025
TOTAL (Kg),Hostel no -26,28.35,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,22,March2025
Dry waste,Hostel no -26,28,March2025
TOTAL (Kg),Hostel no -26,50,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,4.66,March2025
Dry waste,Hostel no -26,17.55,March2025
TOTAL (Kg),Hostel no -26,22.21,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,22,March2025
Dry waste,Hostel no -26,28,March2025
TOTAL (Kg),Hostel no -26,50,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,11.9,March2025
Dry waste,Hostel no -26,0,March2025
TOTAL (Kg),Hostel no -26,11.9,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,11.9,March2025
Dry waste,Hostel no -26,0,March2025
TOTAL (Kg),Hostel no -26,0,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,12.3,March2025
Dry waste,Hostel no -26,8,March2025
TOTAL (Kg),Hostel no -26,20.3,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,14.8,March2025
Dry waste,Hostel no -26,0,March2025
TOTAL (Kg),Hostel no -26,14.8,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,14.8,March2025
Dry waste,Hostel no -26,4.5,March2025
TOTAL (Kg),Hostel no -26,19.3,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,14.5,March2025
Dry waste,Hostel no -26,5.5,March2025
TOTAL (Kg),Hostel no -26,20,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,14.8,March2025
Dry waste,Hostel no -26,0,March2025
TOTAL (Kg),Hostel no -26,14.8,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,14.5,March2025
Dry waste,Hostel no -26,0,March2025
TOTAL (Kg),Hostel no -26,14.5,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,14.8,March2025
Dry waste,Hostel no -26,0,March2025
TOTAL (Kg),Hostel no -26,14.8,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,14.5,March2025
Dry waste,Hostel no -26,0,March2025
TOTAL (Kg),Hostel no -26,14.5,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,18.5,March2025
Dry waste,Hostel no -26,4.5,March2025
TOTAL (Kg),Hostel no -26,23,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,14.5,March2025
Dry waste,Hostel no -26,16,March2025
TOTAL (Kg),Hostel no -26,30.5,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,16.5,March2025
Dry waste,Hostel no -26,0,March2025
TOTAL (Kg),Hostel no -26,16.5,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,15.5,March2025
Dry waste,Hostel no -26,16,March2025
TOTAL (Kg),Hostel no -26,31.5,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,19.3,March2025
Dry waste,Hostel no -26,0,March2025
TOTAL (Kg),Hostel no -26,19.3,March2025
Waste type,Hostel no -26,Hostel no -26,March2025
Wet waste,Hostel no -26,18.8,March2025
Dry waste,Hostel no -26,9,March2025
TOTAL (Kg),Hostel no -26,27.8,March2025
Wet waste,Hostel no -27,15,March2025
Dry waste,Hostel no -27,25,March2025
TOTAL (Kg),Hostel no -27,40,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,8,March2025
Dry waste,Hostel no -27,21,March2025
TOTAL (Kg),Hostel no -27,29,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,6,March2025
Dry waste,Hostel no -27,21,March2025
TOTAL (Kg),Hostel no -27,27,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,15,March2025
Dry waste,Hostel no -27,17,March2025
TOTAL (Kg),Hostel no -27,32,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,15,March2025
Dry waste,Hostel no -27,18,March2025
TOTAL (Kg),Hostel no -27,33,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,14,March2025
Dry waste,Hostel no -27,15,March2025
TOTAL (Kg),Hostel no -27,29,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,13,March2025
Dry waste,Hostel no -27,12,March2025
TOTAL (Kg),Hostel no -27,25,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,25,March2025
Dry waste,Hostel no -27,17,March2025
TOTAL (Kg),Hostel no -27,42,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,13,March2025
Dry waste,Hostel no -27,12,March2025
TOTAL (Kg),Hostel no -27,25,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,10,March2025
Dry waste,Hostel no -27,20,March2025
TOTAL (Kg),Hostel no -27,30,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,10,March2025
Dry waste,Hostel no -27,12,March2025
TOTAL (Kg),Hostel no -27,12,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,10,March2025
Dry waste,Hostel no -27,25,March2025
TOTAL (Kg),Hostel no -27,35,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,13.6,March2025
Dry waste,Hostel no -27,9,March2025
TOTAL (Kg),Hostel no -27,22.6,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,13.6,March2025
Dry waste,Hostel no -27,20,March2025
TOTAL (Kg),Hostel no -27,33.6,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,20,March2025
Dry waste,Hostel no -27,25,March2025
TOTAL (Kg),Hostel no -27,45,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,16,March2025
Dry waste,Hostel no -27,10,March2025
TOTAL (Kg),Hostel no -27,26,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,16,March2025
Dry waste,Hostel no -27,25,March2025
TOTAL (Kg),Hostel no -27,41,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,18.3,March2025
Dry waste,Hostel no -27,20,March2025
TOTAL (Kg),Hostel no -27,38.3,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,22,March2025
Dry waste,Hostel no -27,10,March2025
TOTAL (Kg),Hostel no -27,32,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,10,March2025
Dry waste,Hostel no -27,30,March2025
TOTAL (Kg),Hostel no -27,40,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,8,March2025
Dry waste,Hostel no -27,10,March2025
TOTAL (Kg),Hostel no -27,18,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,20,March2025
Dry waste,Hostel no -27,25,March2025
TOTAL (Kg),Hostel no -27,45,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,25,March2025
Dry waste,Hostel no -27,25,March2025
TOTAL (Kg),Hostel no -27,50,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,21,March2025
Dry waste,Hostel no -27,25,March2025
TOTAL (Kg),Hostel no -27,46,March2025
Waste type,Hostel no -27,Hostel no -27,March2025
Wet waste,Hostel no -27,15,March2025
Dry waste,Hostel no -27,10,March2025
TOTAL (Kg),Hostel no -27,25,March2025
Wet waste,Hostel no -28,10,March2025
Dry waste,Hostel no -28,20,March2025
TOTAL (Kg),Hostel no -28,30,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
Wet waste,Hostel no -28,16,March2025
Dry waste,Hostel no -28,6,March2025
TOTAL (Kg),Hostel no -28,22,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
Wet waste,Hostel no -28,14,March2025
Dry waste,Hostel no -28,8,March2025
TOTAL (Kg),Hostel no -28,22,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
Wet waste,Hostel no -28,17,March2025
Dry waste,Hostel no -28,5,March2025
TOTAL (Kg),Hostel no -28,22,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
Wet waste,Hostel no -28,15,March2025
Dry waste,Hostel no -28,5,March2025
TOTAL (Kg),Hostel no -28,20,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
Wet waste,Hostel no -28,20,March2025
Dry waste,Hostel no -28,8,March2025
TOTAL (Kg),Hostel no -28,28,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
Wet waste,Hostel no -28,12,March2025
Dry waste,Hostel no -28,5,March2025
TOTAL (Kg),Hostel no -28,17,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
Wet waste,Hostel no -28,17,March2025
Dry waste,Hostel no -28,10,March2025
TOTAL (Kg),Hostel no -28,27,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
Wet waste,Hostel no -28,12,March2025
Dry waste,Hostel no -28,9,March2025
TOTAL (Kg),Hostel no -28,21,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
Wet waste,Hostel no -28,20,March2025
Dry waste,Hostel no -28,10,March2025
TOTAL (Kg),Hostel no -28,30,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
Wet waste,Hostel no -28,20,March2025
Dry waste,Hostel no -28,5.5,March2025
TOTAL (Kg),Hostel no -28,5.5,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
Wet waste,Hostel no -28,15,March2025
Dry waste,Hostel no -28,4.5,March2025
TOTAL (Kg),Hostel no -28,19.5,March2025
Waste type,Hostel no -28,Hostel no -28,March2025
